daf,amud,entry_letter,local_letters,raw_text,text,url
4,a,יא,ו,"מיי' שם ופט""ו הלכה ו והלכה י:","רמב""ם פרק יח מהלכות שאר אבות הטומאה
רמב""ם פרק טו מהלכות שאר אבות הטומאה הלכה ו והלכה י","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%A9%D7%90%D7%A8_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%99%D7%97
https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%A9%D7%90%D7%A8_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%98%D7%95_%D7%95"
4,a,יב,ז,"מיי' שם פי""ז הלכ' ב:","רמב""ם פרק יז מהלכות שאר אבות הטומאה הלכה ב",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%A9%D7%90%D7%A8_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%99%D7%96_%D7%91
4,a,יג,ט ח,"מיי' שם פט""ו הלכה י:","רמב""ם פרק טו מהלכות שאר אבות הטומאה הלכה י",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%A9%D7%90%D7%A8_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%98%D7%95_%D7%99
4,a,יד,כ י,"איירי וחזקיה יפרש הברייתא דבראוהו מיי' פט""ז שם הלכה ז:","רמב""ם איירי וחזקיה יפרש הברייתא דבראוהו רמב""ם פרק טז שם הלכה ז",
4,b,טו,א,מיי' אבות הטומאה הלכה ח:,"רמב""ם אבות הטומאה הלכה ח",
4,b,טז,ב,"]ופט""ו הלכה ח[ :","רמב""ם ופט""ו הלכה ח",
4,b,יז,ג,,,
4,b,יח,ד,,,
4,b,יט,ה,"מיי' פ""ד משכב ומושב הלכה סמג לאוין קיא:","רמב""ם פרק ד מהלכות שאר אבות הטומאה משכב ומושב הלכה
סמג לאוין קיא","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%A9%D7%90%D7%A8_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%93
https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%9C%D7%90%D7%95_%D7%A7%D7%99%D7%90"
5,a,כ,א,"אבל מיי' פ""ט מהלכות איסורי ביאה הלכה ג נמי ופ""ג מהלכות משכב ומושב וא""ת מעיקרא מאי סבר דאמרי' איפכא ולא אמרי' לחומרא ויש לומר הלכה ז:","רמב""ם אבל רמב""ם פרק ט מהלכות איסורי ביאה הלכה ג נמי
רמב""ם פרק ג מהלכות משכב ומושב וא""ת מעיקרא מאי סבר דאמרי' איפכא ולא אמרי' לחומרא ויש לומר הלכה ז",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%98_%D7%92
5,a,כא,ב,"מיי' פ""ט מהלכות לא איסורי ביאה הלכה ה וקאמר ופ""ג מהל' משכב ומושב הלכה ח:","רמב""ם פרק ט מהלכות לא איסורי ביאה הלכה ה וקאמר
רמב""ם פרק ג מהלכות משכב ומושב הלכה ח","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9C%D7%90_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%98_%D7%94
https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%92_%D7%97"
5,b,כו,א,"מיי' פ""ג ומושב הלכה ח:","רמב""ם פרק ג מהלכות משכב ומושב ומושב הלכה ח",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%92_%D7%97
5,b,כז,ד ג ב,"מיי' פט""ז שאר אבות הטומאה ו:","רמב""ם פרק טז מהלכות משכב ומושב שאר אבות הטומאה ו",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%A9%D7%90%D7%A8_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%95_%D7%98%D7%96
5,b,כח,ה,"מיי' פ""כ ופכ""א טומאת מת הלכה א:","רמב""ם פרק כ מהלכות משכב ומושב
רמב""ם פרק כא מהלכות משכב ומושב טומאת מת הלכה א","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%9B
https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%98%D7%95%D7%9E%D7%90%D7%AA_%D7%9E%D7%AA_%D7%9B%D7%90_%D7%90"
5,b,כט,ו,"מיי' פ""ג ומושב הלכה ח:","רמב""ם פרק ג מהלכות משכב ומושב ומושב הלכה ח",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%92_%D7%97
6,a,ל,א,"תימה פשיטא כיון דמקולקלת מיי' פ""ג מהלכות משכב ומושב הלכ' ח:","רמב""ם תימה פשיטא כיון דמקולקלת רמב""ם פרק ג מהלכות משכב ומושב הלכה ח",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%92_%D7%97
6,a,לא,ג ב,"מיי' שם ופ""ט מהלכות דמיירי איסורי ביאה הלכה ג:","רמב""ם פרק ג מהלכות משכב ומושב
רמב""ם פרק ט מהלכות דמיירי איסורי ביאה הלכה ג","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%92
https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%93%D7%9E%D7%99%D7%99%D7%A8%D7%99_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%98_%D7%92"
6,a,לב,ד,"מיי' פ""ט מהלכות איסורי שראתה יום אחד או ב' ימים אחר מציאת הכתם וקמ""ל דאינה מונה ביאה הלכה ג:","רמב""ם פרק ט מהלכות איסורי שראתה יום אחד או ב' ימים אחר מציאת הכתם וקמ""ל דאינה מונה ביאה הלכה ג",
6,a,לג,ה,"מיי' פ""ג מהלכות משכב דאימר לאו מגופה אתא אלא מעלמא:","רמב""ם פרק ג מהלכות משכב דאימר לאו מגופה אתא אלא מעלמא",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%93%D7%90%D7%99%D7%9E%D7%A8_%D7%9C%D7%90%D7%95_%D7%9E%D7%92%D7%95%D7%A4%D7%94_%D7%90%D7%AA%D7%90_%D7%90%D7%9C%D7%90_%D7%9E%D7%A2%D7%9C%D7%9E%D7%90_%D7%92
6,b,לד,ד ג ב א,"מיי' פ""ט מעשה קרבנות הלכה כב:","רמב""ם פרק ט מהלכות משכב דאימר לאו מגופה אתא אלא מעלמא מעשה קרבנות הלכה כב",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%93%D7%90%D7%99%D7%9E%D7%A8_%D7%9C%D7%90%D7%95_%D7%9E%D7%92%D7%95%D7%A4%D7%94_%D7%90%D7%AA%D7%90_%D7%90%D7%9C%D7%90_%D7%9E%D7%A2%D7%9C%D7%9E%D7%90_%D7%9E%D7%A2%D7%A9%D7%94_%D7%A7%D7%A8%D7%91%D7%A0%D7%95%D7%AA_%D7%98_%D7%9B%D7%91
6,b,לה,ו ה,"מיי' פ""ג ומושב הלכ' ט:","רמב""ם פרק ג מהלכות משכב דאימר לאו מגופה אתא אלא מעלמא ומושב הלכה ט",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%93%D7%90%D7%99%D7%9E%D7%A8_%D7%9C%D7%90%D7%95_%D7%9E%D7%92%D7%95%D7%A4%D7%94_%D7%90%D7%AA%D7%90_%D7%90%D7%9C%D7%90_%D7%9E%D7%A2%D7%9C%D7%9E%D7%90_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%92_%D7%98
6,b,לו,ז,הלכה י סמג עשין קמא:,"רמב""ם הלכה י
סמג עשין קמא",https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%A2%D7%A9%D7%94_%D7%A7%D7%9E%D7%90
6,b,לז,ח,"מיי' שם ופ""ז הלכה ופט""ז מהל' טומאת הלכה ט:","רמב""ם פרק ג מהלכות משכב דאימר לאו מגופה אתא אלא מעלמא
רמב""ם פרק ז מהלכות משכב דאימר לאו מגופה אתא אלא מעלמא הלכה
רמב""ם פרק טז מהלכות טומאת הלכה ט","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%93%D7%90%D7%99%D7%9E%D7%A8_%D7%9C%D7%90%D7%95_%D7%9E%D7%92%D7%95%D7%A4%D7%94_%D7%90%D7%AA%D7%90_%D7%90%D7%9C%D7%90_%D7%9E%D7%A2%D7%9C%D7%9E%D7%90_%D7%92
https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%93%D7%90%D7%99%D7%9E%D7%A8_%D7%9C%D7%90%D7%95_%D7%9E%D7%92%D7%95%D7%A4%D7%94_%D7%90%D7%AA%D7%90_%D7%90%D7%9C%D7%90_%D7%9E%D7%A2%D7%9C%D7%9E%D7%90_%D7%96
https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%98%D7%95%D7%9E%D7%90%D7%AA_%D7%98%D7%96_%D7%98"
6,b,לח,ט,אבות הטומאה הלכה טז:,"רמב""ם אבות הטומאה הלכה טז",
7,a,לט,א,"כהן ועוד דאפילו לא נולד לה ספק שרי לטמאותה וליכא הפסד כהן מיי' פ""ח מהלכות משכב ומושב הלכה ט:","רמב""ם כהן ועוד דאפילו לא נולד לה ספק שרי לטמאותה וליכא הפסד כהן רמב""ם פרק ח מהלכות משכב ומושב הלכה ט",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%97_%D7%98
7,a,מ,ב,"מיי' פט""ז מהלכות טומאת תנןמשאלתאשה אוכלים הלכה ח סמג עשין רעו:","רמב""ם פרק טז מהלכות טומאת תנןמשאלתאשה אוכלים הלכה ח
סמג עשין רעו","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%98%D7%95%D7%9E%D7%90%D7%AA_%D7%AA%D7%A0%D7%9F%D7%9E%D7%A9%D7%90%D7%9C%D7%AA%D7%90%D7%A9%D7%94_%D7%90%D7%95%D7%9B%D7%9C%D7%99%D7%9D_%D7%98%D7%96_%D7%97
https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%A2%D7%A9%D7%94_%D7%A8%D7%A2%D7%95"
7,a,מא,ג,"מיי' פ""ח מהל' טומאת ע""ה אוכלים הלכה יז:","רמב""ם פרק ח מהלכות טומאת ע""ה אוכלים הלכה יז",
7,a,מב,ד,"נפה וכברה ובוררת וטוחנת עמה אבל מיי' פי""א מהל' שאר אבות הטומאה הלכה ב:","רמב""ם נפה וכברה ובוררת וטוחנת עמה אבל רמב""ם פרק יא מהלכות שאר אבות הטומאה הלכה ב",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%A9%D7%90%D7%A8_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%99%D7%90_%D7%91
7,a,מג,ה,"מיי' שם הלכה טז ופ""ח בגמרא מ""ש רישא ומ""ש סיפא אמר מהלכות בכורים הלכה י:","רמב""ם פרק יא מהלכות שאר אבות הטומאה הלכה טז
רמב""ם פרק ח בגמרא מ""ש רישא ומ""ש סיפא אמר מהלכות בכורים הלכה י","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%A9%D7%90%D7%A8_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%99%D7%90_%D7%98%D7%96
https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%9B%D7%95%D7%A8%D7%99%D7%9D_%D7%97_%D7%99"
7,a,מד,ו,"מיי' פ""ג מהלכות משכב למים ומושב הלכה ט:","רמב""ם פרק ג מהלכות משכב למים ומושב הלכה ט",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%9C%D7%9E%D7%99%D7%9D_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%92_%D7%98
7,a,מה,ז,"דהוכשרו לא תגע בהם אף קודם לישה מיי' שם פ""ד הלכה א ופ""ט מהל' איסורי ביאה רבא אמר בעם הארץ דר""מ וטומאה הלכה ד סמג לאוין קיא:","רמב""ם דהוכשרו לא תגע בהם אף קודם לישה רמב""ם שם פרק ד הלכה א
רמב""ם פרק ט מהלכות איסורי ביאה רבא אמר בעם הארץ דר""מ וטומאה הלכה ד
סמג לאוין קיא",https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%9C%D7%90%D7%95_%D7%A7%D7%99%D7%90
7,b,מו,א,"מיי' פ""ט מהל' ביאה הלכה ה ופ""ד קיא:","רמב""ם פרק ט מהלכות ביאה הלכה ה
רמב""ם פרק ד מהלכות ביאה קיא","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%99%D7%90%D7%94_%D7%98_%D7%94
https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%99%D7%90%D7%94_%D7%A7%D7%99%D7%90_%D7%93"
7,b,מז,ב,"ביאה הלכה ד ופ""ד משכב ומושב הלכה א סמג טוש""ע י""ד ס י' קפט סעיף","רמב""ם ביאה הלכה ד
רמב""ם פרק ד מהלכות ביאה משכב ומושב הלכה א
סמג 
טור שולחן ערוך יורה דעה ס י' קפט סעיף","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%99%D7%90%D7%94_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%93_%D7%90
https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A_%D7%99%D7%95%D7%A8%D7%94_%D7%93%D7%A2%D7%94_%D7%A7%D7%A4%D7%98"
7,b,מח,ד ג,"מיי' שם סמג טוש""ע י""ד שם:","רמב""ם פרק ד מהלכות ביאה
סמג 
טור שולחן ערוך יורה דעה ס י' קפט","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%99%D7%90%D7%94_%D7%93
https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A_%D7%99%D7%95%D7%A8%D7%94_%D7%93%D7%A2%D7%94_%D7%A7%D7%A4%D7%98"
7,b,מט,ה,"מיי' פ""ט ביאה הלכה ה ופ""ד משכב ומושב הלכה א סמג טוש""ע י""ד שם סעיף כח:","רמב""ם פרק ט מהלכות ביאה ביאה הלכה ה
רמב""ם פרק ד מהלכות ביאה משכב ומושב הלכה א
סמג 
טור שולחן ערוך יורה דעה ס י' קפט סעיף כח","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%99%D7%90%D7%94_%D7%91%D7%99%D7%90%D7%94_%D7%98_%D7%94
https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%99%D7%90%D7%94_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%93_%D7%90
https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A_%D7%99%D7%95%D7%A8%D7%94_%D7%93%D7%A2%D7%94_%D7%A7%D7%A4%D7%98_%D7%9B%D7%97"
7,b,נ,ו,"מיי' פ""ד מהלכות בהשגות ובכ""מ:","רמב""ם פרק ד מהלכות בהשגות ובכסף משנה",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%94%D7%A9%D7%92%D7%95%D7%AA_%D7%95%D7%91%D7%9B%D7%A1%D7%A3_%D7%9E%D7%A9%D7%A0%D7%94_%D7%93
7,b,נא,ז,"מיי' פ""ז מהלכות אבות הטומאה הלכה ה:","רמב""ם פרק ז מהלכות אבות הטומאה הלכה ה",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%96_%D7%94
7,b,נב,ח,מיי' שם הלכה,"רמב""ם פרק ז מהלכות אבות הטומאה הלכה",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%96
7,b,נג,ט,מיי' שם הלכה א ד:,"רמב""ם פרק ז מהלכות אבות הטומאה הלכה א ד",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%96_%D7%90
7,b,נד,כ י,ב:,"רמב""ם ב",
7,b,נה,ל,"עיי' בכ""מ שם הלכה","רמב""ם עיין בכסף משנה שם הלכה",
7,b,נו,מ,מיי' שם הלכה,"רמב""ם פרק ז מהלכות אבות הטומאה הלכה",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%96
8,a,נז,א,"אע""ג מיי' פ""ז מהל' יבום הלט""ו סמג עשין נא טוש""ע אה""ע כשר סי' קעה סעיף יא:","רמב""ם אע""ג רמב""ם פרק ז מהלכות יבום הלכה טו
סמג עשין נא
טור שולחן ערוך אבן העזר כשר סימן קעה סעיף יא","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%99%D7%91%D7%95%D7%9D_%D7%96_%D7%98%D7%95
https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%A2%D7%A9%D7%94_%D7%A0%D7%90
https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A_%D7%90%D7%91%D7%9F_%D7%94%D7%A2%D7%96%D7%A8_%D7%A7%D7%A2%D7%94_%D7%99%D7%90"
